date,rt_median,rt_hdi_low,rt_hdi_high
2020-03-25,1.2291224924981425,1.0218008812850685,1.4479077132579403
2020-03-26,1.23782279284702,1.0380880171925126,1.478588123606563
2020-03-27,1.2414971299359467,1.0309612688502543,1.4799682691341465
2020-03-28,1.2430589363396707,1.030044257160651,1.4842258560919979
2020-03-29,1.2450946573519293,1.0203324558681917,1.4783291040386803
2020-03-30,1.246161608036073,1.0203608118560785,1.4833843098993638
2020-03-31,1.246462985192764,1.0204631211343504,1.487340887139112
2020-04-01,1.2475802896260921,1.0246831673387884,1.4917403724905502
2020-04-02,1.2485126502711863,1.026199257315683,1.497033315396759
2020-04-03,1.247907066294931,1.0244339348951799,1.4950225909044472
2020-04-04,1.2460110450854178,1.02980379841538,1.5019181809305073
2020-04-05,1.2460249912584471,1.0303982145747146,1.5051080051835721
2020-04-06,1.2461657379446938,1.0276588471248242,1.5043896534676668
2020-04-07,1.243983866410538,1.0209916140803137,1.4991160556270928
2020-04-08,1.2425516610896614,1.0099179278757437,1.4924532802326675
2020-04-09,1.2400917602858184,1.0231884529666737,1.5066088976627254
2020-04-10,1.2394048776636475,1.0134524260681415,1.4897242364797754
2020-04-11,1.2385629821728945,1.0085210982235975,1.4884020476144668
2020-04-12,1.2369364015329924,1.0119591490324429,1.4929949298137977
2020-04-13,1.2338149197116548,1.0187478066165019,1.49570041111468
2020-04-14,1.2311563056319037,1.0087302623799879,1.4836083546287169
2020-04-15,1.230031283596406,1.005302267971795,1.4836955057077643
2020-04-16,1.2274177653235159,1.0013672199231771,1.4791571220644189
2020-04-17,1.2252741302649504,1.0086186296684696,1.4837215657006981
2020-04-18,1.220939144312379,1.011472144215854,1.4821263836140874
2020-04-19,1.219308610393372,0.9943989979147665,1.4621800966946623
2020-04-20,1.217060459411053,0.9992103126220545,1.469896282495895
2020-04-21,1.2144155489783797,1.0009298516500889,1.46493041499529
2020-04-22,1.2117095290802666,1.0061839551781449,1.46578443576393
2020-04-23,1.2082290826386286,0.9836130868785793,1.4465733813118742
2020-04-24,1.2057961463819198,0.9946215278904386,1.4518863679148946
2020-04-25,1.2024574188076742,0.9959413246482043,1.4531683367671802
2020-04-26,1.199577088584112,0.9923564603396252,1.4421139769248903
2020-04-27,1.1970402583707722,0.9813568028746041,1.4355672587937274
2020-04-28,1.193941143474059,0.9753539015734908,1.4255626816929576
2020-04-29,1.1901758410307486,0.973041469258766,1.4196377759347
2020-04-30,1.187547647844017,0.9786055769701201,1.4251848993508707
2020-05-01,1.1847220449497269,0.9742447111839604,1.4182757023846613
2020-05-02,1.1833181140049174,0.9764022814760911,1.41876753438557
2020-05-03,1.1795214760286372,0.9707298599899692,1.411352041631114
2020-05-04,1.1766209445844416,0.9632910076298816,1.4033410193330493
2020-05-05,1.1737737779039352,0.9692224992388677,1.402944221330666
2020-05-06,1.1716221239815052,0.9603099890214606,1.396010164792658
2020-05-07,1.1684309749325537,0.956451029156867,1.38968595507332
2020-05-08,1.1660247481735921,0.9567022020589794,1.387064621435293
2020-05-09,1.1634089599442774,0.9592940829360591,1.3907414023882185
2020-05-10,1.1595123813365402,0.9520350596988487,1.377513148553192
2020-05-11,1.1559354973267024,0.956091230745031,1.3805870116984362
2020-05-12,1.153617843416549,0.9480634024671549,1.3709644373238177
2020-05-13,1.1505167028395373,0.9487521436913801,1.375737984499312
2020-05-14,1.1473708388798607,0.9323283135170904,1.3585329505142933
2020-05-15,1.145360375831362,0.9370617119368129,1.3624630155396793
2020-05-16,1.142827091656078,0.9361808536254403,1.3601891707481553
2020-05-17,1.140269571054682,0.9426061840736035,1.3696646832659467
2020-05-18,1.1375317599386048,0.9321068970670492,1.3590043315930882
2020-05-19,1.135727417741247,0.9359722174485101,1.3584943435955796
2020-05-20,1.133968045993962,0.9275744499305268,1.3498303077745162
2020-05-21,1.1311243707101162,0.9233177543818543,1.3438651161500639
2020-05-22,1.129163695115592,0.9138935710310505,1.3323115213997432
2020-05-23,1.126762002115138,0.9185647501974656,1.3361812493011205
2020-05-24,1.124543704598477,0.926282192700602,1.344524413631202
2020-05-25,1.1225390081943687,0.9101067141125339,1.3265675950024791
2020-05-26,1.121017290155964,0.913457734086946,1.3283891007777622
2020-05-27,1.1182653970356795,0.9134454863348038,1.3307320912147838
2020-05-28,1.1169180869280626,0.9161824222850452,1.334091326870084
2020-05-29,1.115485413136338,0.9062222965865682,1.3213216825727392
2020-05-30,1.1139475196707558,0.9092241452094882,1.3263750390765523
2020-05-31,1.1113238885249996,0.9017489935873746,1.3203330000367297
2020-06-01,1.1103696555275242,0.8936073232161263,1.3111563315162589
2020-06-02,1.108065500487366,0.8951109827396774,1.3101110190589529
2020-06-03,1.1062112933321084,0.8932792478228189,1.3105526460020358
2020-06-04,1.1057879257369434,0.8947572328430963,1.3111214500138484
2020-06-05,1.1035201704635635,0.8918401384728583,1.3100001753503159
2020-06-06,1.1020235283817463,0.8906598832825143,1.3073674725918045
2020-06-07,1.1007282082098162,0.8900834840737332,1.3077718953379178
2020-06-08,1.0992109183876075,0.8909429567158847,1.3093177844168873
2020-06-09,1.0978110075401477,0.8713237622643504,1.2930887663351944
2020-06-10,1.0957168382837783,0.8890710212703239,1.3060398419118613
2020-06-11,1.0935301751494517,0.8929401807926454,1.3088629564705196
2020-06-12,1.092968260888488,0.8838382341191532,1.2966919760161608
2020-06-13,1.0914174692132685,0.8901742862609788,1.303529840442847
2020-06-14,1.0911476343447406,0.8799098856544149,1.2946790019557881
2020-06-15,1.0892507022085929,0.8765751839643103,1.2902734932028164
