date,rt_median,rt_hdi_low,rt_hdi_high
2020-03-05,1.3134491393589345,1.0699138073556747,1.5941851021831115
2020-03-06,1.3470200484102368,1.0715497003827483,1.6698382501620423
2020-03-07,1.3535429217245913,1.0519653699506226,1.6709002059590587
2020-03-08,1.3583144023654397,1.071028772831904,1.7025650623893602
2020-03-09,1.3594606249672312,1.0668549405901144,1.712197702825381
2020-03-10,1.3594650086980877,1.0650502759045488,1.7157913841397794
2020-03-11,1.3606556813942023,1.0561254694048117,1.713448671869255
2020-03-12,1.361084910110829,1.0689114996395177,1.7335090399559272
2020-03-13,1.3571320494263936,1.0609422230334358,1.7274138401157328
2020-03-14,1.3553821243789483,1.066686523749307,1.7323310589796685
2020-03-15,1.3510782495770708,1.0606421790614255,1.7237367666419259
2020-03-16,1.3474292573347375,1.0671337148053879,1.7234731845658582
2020-03-17,1.3401949539149252,1.0493090409804096,1.6933886856548768
2020-03-18,1.3341028547645228,1.0463373975258565,1.683441035735824
2020-03-19,1.3273860115574942,1.04450424890453,1.682057118503223
2020-03-20,1.3198804526955676,1.0293933789966438,1.6600297623451974
2020-03-21,1.3097072255119913,1.0296048243096005,1.648341329110939
2020-03-22,1.3017014285698667,1.0250467803150327,1.636959717987267
2020-03-23,1.2917591270131268,1.006739620816902,1.6155526281824144
2020-03-24,1.2798223844454002,1.0146980978914488,1.6061856518658009
2020-03-25,1.2694013547424488,1.001345690574496,1.587928267971437
2020-03-26,1.2544182084802533,1.0011856160821093,1.5723230181482806
2020-03-27,1.2411811547099738,0.9921826005619454,1.553196898120551
2020-03-28,1.2275132643217566,0.9847837702544808,1.53927090048403
2020-03-29,1.2155898231866322,0.9556015461068695,1.4996167312928386
2020-03-30,1.204422853267721,0.955194149388112,1.4881843446170835
2020-03-31,1.193207826299321,0.9423188581022114,1.469845440331177
2020-04-01,1.1825593505767822,0.9387445568902537,1.4587671766210468
2020-04-02,1.1693028709998083,0.9185922076728642,1.436170203522151
2020-04-03,1.1591990266473484,0.9205816124029511,1.4372719729634156
2020-04-04,1.1439755621207173,0.9033063264720375,1.4090955617322427
2020-04-05,1.1351024831685268,0.891798717621622,1.3879847003003523
2020-04-06,1.1221820115233818,0.8747101150251628,1.3638537768732446
2020-04-07,1.1118688439225681,0.864628847417638,1.3557311659139637
2020-04-08,1.1036832613921468,0.8646247031707545,1.3540887039571765
2020-04-09,1.095262295864283,0.8502063891246018,1.336957257046473
2020-04-10,1.0863167079977472,0.8246184184726054,1.3104278880864293
2020-04-11,1.0777736686138504,0.8374353652074237,1.3214573893153163
2020-04-12,1.070363146968822,0.823920139858232,1.3079275627368991
2020-04-13,1.063230478772205,0.8000774050809351,1.2882437066633692
2020-04-14,1.0570617745666926,0.809221501052471,1.2972821581834426
2020-04-15,1.0508769829393763,0.7995423145006847,1.2842437182768494
2020-04-16,1.0455992506001048,0.7979479493251754,1.283671801145675
2020-04-17,1.0408514085917053,0.778954834635503,1.2614861634134602
2020-04-18,1.0347875869019436,0.7834050716904799,1.2680785469519913
2020-04-19,1.0293191220631812,0.778141622756781,1.2571341765894366
2020-04-20,1.023164325621559,0.7756504346933393,1.2561646190256837
2020-04-21,1.0183330568957667,0.7580445959026553,1.238046139263981
2020-04-22,1.0135978580911484,0.7596979900368718,1.2383657337176468
2020-04-23,1.0082914342583336,0.7574706256486975,1.2383040824024687
2020-04-24,1.0057211512671098,0.7538642747610922,1.2335591887098292
2020-04-25,0.9997344119567775,0.7563365743414461,1.2349060180638183
2020-04-26,0.9953848130546139,0.757052336255358,1.2334004185347864
2020-04-27,0.9921164556645831,0.7430972407032362,1.223075853491164
2020-04-28,0.9884594004785874,0.7422563012257507,1.2154022527778559
2020-04-29,0.9854354379602237,0.7416941214840553,1.2177512852217853
2020-04-30,0.9829726581338869,0.745115903569503,1.2182658562571926
2020-05-01,0.9803688322724511,0.7374835264415649,1.2165057323203952
2020-05-02,0.979018344399313,0.7375354028669464,1.2155014974925618
2020-05-03,0.9761924565515331,0.721525038727711,1.2013182654604155
2020-05-04,0.9756680804595479,0.7234019875599345,1.199533818207305
2020-05-05,0.9744974496711911,0.731203551918574,1.2047312711016287
2020-05-06,0.9742104472817676,0.7338066429421215,1.2017126980374433
2020-05-07,0.9747096703101231,0.7350430699531975,1.2021305423915012
2020-05-08,0.9745089225884126,0.7355619232042444,1.2030550242844753
2020-05-09,0.9723694005631526,0.7376151736519563,1.1995166660787893
2020-05-10,0.9720648275205105,0.7401245842566977,1.2021598802271976
2020-05-11,0.9725714015087124,0.7421037942640608,1.2017879991856477
2020-05-12,0.9722124359542044,0.7313036181683786,1.192256751287089
2020-05-13,0.9720839536014017,0.7294850382951801,1.1882501485568333
2020-05-14,0.9717539412007667,0.7469709377523559,1.2033450802931447
2020-05-15,0.9696941099952314,0.7514592619428531,1.2066264697882012
2020-05-16,0.9687951627144916,0.7358240311661849,1.1944197450666647
2020-05-17,0.9683892615348124,0.7452649245441219,1.2023930687346436
2020-05-18,0.9674544569447361,0.731990801529222,1.1871492641679384
2020-05-19,0.9680487942692353,0.7494662812542185,1.2007636625927154
2020-05-20,0.9698412982060136,0.7446063217317607,1.1932785738005711
2020-05-21,0.970825844646221,0.7422057911417677,1.1894912208358852
2020-05-22,0.9700982794513167,0.7411898705924918,1.1890246496245849
2020-05-23,0.9705202770594681,0.7472465615074884,1.1926664044271151
2020-05-24,0.9709292800934481,0.7423994589901048,1.1845856467562779
2020-05-25,0.9731704895174078,0.7423347661810291,1.1881904646076447
2020-05-26,0.9735099179540052,0.7386335168678445,1.1836620355002054
2020-05-27,0.9742489132970528,0.7393471930839332,1.1838731588968012
2020-05-28,0.9763617183245664,0.7534539264271798,1.1951766516204285
2020-05-29,0.9777936877655158,0.7518617051180552,1.1902910394251651
2020-05-30,0.980033801529272,0.75956759190412,1.1969761457857853
2020-05-31,0.9802754246777132,0.7638364805936078,1.1978597474893906
2020-06-01,0.9816010796080308,0.7645409472773286,1.197052090433143
2020-06-02,0.9834567239615607,0.7596278681634232,1.1914993921938968
2020-06-03,0.9842962830323461,0.7663584673148411,1.1971891409824569
2020-06-04,0.9870162040340469,0.7625190964081319,1.1941807476431283
2020-06-05,0.9889612755278763,0.7667038485727382,1.196846280967583
2020-06-06,0.990777720646475,0.7743530422876402,1.2034105241946391
2020-06-07,0.9931763159387563,0.7814712306338992,1.2074826032449408
2020-06-08,0.9956153091745327,0.7804145976338221,1.2065754865210065
2020-06-09,0.9971449147217915,0.7805005873312473,1.2061452946868543
2020-06-10,1.0015794870233556,0.7990824721791532,1.2232742987710168
2020-06-11,1.0024771044144234,0.7911940574982583,1.2125258739505707
2020-06-12,1.004055514625981,0.7899735275379232,1.2159859391566386
2020-06-13,1.0074273604872765,0.7915814298311237,1.2169342272211154
2020-06-14,1.0096750070904825,0.8005822538224046,1.224067702891686
2020-06-15,1.013337787578707,0.8039289209499549,1.228163065386193
2020-06-16,1.0159464249303434,0.8077842265321474,1.2318854679122084
2020-06-17,1.0191808370712248,0.8055965460603236,1.2277961463387992
2020-06-18,1.0225694074497678,0.8148927895993214,1.2323438489783987
2020-06-19,1.024700469053966,0.8150928173085766,1.23289947284852
2020-06-20,1.0252261264846187,0.8147886102791344,1.2289999549689057
2020-06-21,1.026477842433326,0.8183629260004652,1.2331932147846505
2020-06-22,1.027637001302812,0.8120706367195892,1.2286980222392223
2020-06-23,1.0273593312366924,0.8166129260262126,1.2315624493343011
2020-06-24,1.0271750813766414,0.8246939642767046,1.2386952216290692
2020-06-25,1.0259654582359823,0.8137649088399094,1.233632595497618
2020-06-26,1.0241292309013728,0.8051888383973272,1.2268442486326407
2020-06-27,1.0240703282398256,0.8054806481703974,1.2260480610409117
2020-06-28,1.0238433179732187,0.8151037301777687,1.2374428577979606
2020-06-29,1.024117584243086,0.7990256986639952,1.2218747248523711
2020-06-30,1.0244898971787881,0.811725334881204,1.2335332657211873
2020-07-01,1.024729124745926,0.8132625314267393,1.2335609602776985
2020-07-02,1.0246524109608215,0.8227803987318085,1.2483686876900835
2020-07-03,1.0243040456782457,0.8120384400012406,1.233639545851485
2020-07-04,1.0263063942237216,0.8155316244245078,1.240475253591515
2020-07-05,1.0271077832306426,0.8184819699674966,1.2400635743903416
2020-07-06,1.0277852521130728,0.815914838467132,1.2374313235218133
2020-07-07,1.0301455293003814,0.8165807381672284,1.2364370554003217
2020-07-08,1.0320868681020516,0.8198887526189537,1.2411638381911647
2020-07-09,1.0332576973066068,0.8245379765223537,1.244804071549644
